Country,year,cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop,girls_boys
ARE,1990,2216.4,-0.344157178946114,214.318642703289,11258.1323445989,52009.061,28.7558626859268,547.41916971394,0.266885480597,33653227968.2983,20720.0,21.5,5.65321406148652,1808642.0,5.47637935581232,1430635.822,103.86
AUT,1990,5577.3,0.396258982709296,125.225570633711,3213.88953948459,60960.208,7.90573737219685,308.038114425169,20.1143916835,164846797773.206,20080.0,9.4,1.03612625623541,7710882.0,1.09693507995629,5073760.356,94.231
BGD,1990,2490.5,0.0107497933272249,161.935196562264,120.996407369589,15533.412,0.14757741281245,197.509809352745,1.53789663924,30128776343.5765,290.0,143.4,2.47625238581399,105256026.0,4.82689715334811,20840693.148,74.917
BGR,1990,3953.7,0.0192991509150498,434.899771548875,3277.39068593714,77729.399,8.915966850195,1183.1216714336902,1.94378212604,20726300434.7032,2260.0,22.2,-1.80738071294087,8718000.0,-1.26373708395205,5788752.0,99.242
BWA,1990,265.5,2.52901986757037,131.30505347345,912.328166606504,2178.198,1.57569711748872,226.779136984657,30.3155989926,3791585992.34459,2540.0,58.7,2.99819330307233,1382371.0,10.5302316009521,579213.449,108.019
CAN,1990,2636.2,1.30089324222527,278.56187307608,7504.77733798712,450076.579,16.1950480011515,601.1268159713001,6.01230147911,582722831676.38,20150.0,8.3,1.49359310901388,27791000.0,1.54582606919854,21287906.0,100.029
CHE,1990,5983.8,2.32766634168011,108.426408414261,3623.31168057211,42966.239,6.40140628724672,191.55997433183398,14.5459123509,238212677230.78,34300.0,8.1,0.973134349135032,6712000.0,3.18316911061263,4913184.0,96.704
CHL,1990,3619.6,2.09512823158913,156.071199368917,1027.66446405361,34902.506,2.64657110526447,401.934231514106,15.9679707034,31558927517.2188,2250.0,18.7,1.77279586664331,13187821.0,1.94100448494178,10985454.893,101.004
CHN,1990,4324.6,0.976923368929882,690.666887956624,760.18949686615,2460744.017,2.16770307659104,1969.45727886944,13.5385698258,356936901183.933,330.0,48.3,1.46730321087928,1135185000.0,4.73168801851557,311040690.0,85.201
CMR,1990,1259.2,-1.01179698272885,196.383935001869,408.821442958803,1738.158,0.142696316232923,68.5464634371356,7.01564981606,11151578702.8802,910.0,136.6,2.87721925282453,12180819.0,5.11333726864028,4957593.333,82.329
COG,1990,624.3,0.805771318692292,93.8258703969367,333.612262035027,1188.108,0.497344805270371,139.874382785691,5.4399210377,2798754150.38345,910.0,116.3,2.70987534649761,2388902.0,3.48636288627022,1297173.786,88.537
CPV,1990,334.6,0.0745816179200002,51.1524677952887,83.4263122370141,88.008,0.252776700702253,154.988896133114,2.46892905543,338690985.316566,960.0,59.2,1.59786610934817,348165.0,7.48191611164155,153540.765,93.964
CRI,1990,3096.7,2.19492046746102,105.71427344887,659.543879305852,2955.602,0.96266155088853,154.299159801847,18.6699252113,7403457319.25185,2340.0,17.2,2.54340672425664,3070240.0,4.57575402144806,1556611.68,100.171
CYP,1990,1885.9,2.26515713782863,129.535361523521,1774.9989239079,4653.423,6.06971120296662,442.95364038229,7.82271858738525,5589698801.49141,9520.0,11.0,2.05085319370329,766663.0,2.68158061878044,512130.884,99.913
DNK,1990,6117.9,0.833452396401504,132.751342725878,3378.09747081712,50421.25,9.80958171206226,385.493655853717,4.75404394653,135838154025.143,24120.0,8.7,0.136279580290658,5140000.0,0.230663739361416,4358720.0,101.235
DZA,1990,687.6,0.000539792139948438,141.222346783973,877.179981550392,78895.505,3.11850023451351,502.06563171445,6.30637376014,62045098370.0829,2420.0,67.6,2.52611522390161,25299182.0,4.11252883859227,13180873.822,81.593
EGY,1990,5702.9,1.70181529060494,172.944665340058,559.877698813096,75943.57,1.3360167935433,412.691874918163,1.94377007349,43130415154.4605,750.0,93.5,2.09082699796553,56843275.0,1.907087855782,24726824.625,80.487
ESP,1990,2484.5,2.68415860218406,117.335831659445,2319.68315480482,227592.355,5.86034491193738,296.432054795529,7.71364185822,520968164871.041,11890.0,10.9,0.17524873231353,38836000.0,0.494058790237437,29282344.0,102.83
FIN,1990,3543.1,0.584950725446856,245.987267482527,5692.06317689531,50941.964,10.2170004011231,441.536211464012,4.24566245581,138844658684.497,25210.0,6.7,0.482509952726229,4986000.0,1.0050454634422,3061404.0,108.713
FRA,1990,6082.6,1.05961048397787,158.317596336924,3848.010749637,399028.272,6.85813860893873,282.162418599028,10.1309211959,1244163353812.79,20220.0,8.8,0.499675624501341,58183174.0,0.607696158904463,43113731.934,102.892
GBR,1990,6170.9,3.30875497206097,151.793753213284,3597.00672793434,570218.5,9.96056846833681,420.336181248959,21.822162914,1012576349431.82,16600.0,9.3,0.298928802067806,57247586.0,0.321479258810104,50778608.782,101.933
GHA,1990,989.2,0.251443948759988,394.290636188292,357.661364870789,3931.024,0.265727960717657,292.94203113672603,13.9474931364,5886003649.31714,400.0,121.7,2.74666435969453,14793415.0,4.68847294540467,5384803.06,77.956
GRC,1990,3035.8,1.06686958275451,120.73755054156,2110.0832595217,72723.944,7.15716405865564,409.528132772375,5.67475127249,94200829815.1333,8650.0,12.7,0.701202769572295,10161000.0,0.837349873654795,5974668.0,98.447
GRD,1990,992.3,5.82351883021107,87.0282237738728,441.521798336798,121.011,1.2579106029106,247.946366068484,1.64525375877,221070360.540201,2250.0,21.2,-0.60626659258482,96200.0,-0.854405677723366,30976.4,101.62
HUN,1990,4520.8,1.67535918944254,224.919799447462,2762.42511558718,62991.726,6.07208394688716,494.395991354038,4.55962978111,33056134799.4621,2880.0,18.7,-0.233706128943355,10373988.0,-0.0207135179092228,6826084.104,100.447
IDN,1990,3800.2,0.95519833139541,273.685958564366,549.661178052856,149565.929,0.811332920113852,403.976916730388,9.99857082149,114426498044.996,600.0,85.0,1.72244074454981,184345939.0,4.70773705951792,56409857.334,92.685
IRL,1990,6577.4,1.31118814825756,161.657950521535,2848.87129899024,30417.765,8.67641194591819,492.339184839567,0.636229445315,47852276158.4743,12050.0,9.0,-0.105483731546276,3505800.0,0.105635270543016,1994800.2,104.613
IRN,1990,1445.2,-0.311931665027862,199.466126270953,1236.8235088736,227185.318,4.14038462102726,667.731875811666,5.23844640545,116035029649.097,2450.0,64.8,2.17803436907472,54870583.0,3.68149630465895,30892138.229,82.811
ISR,1990,3485.9,0.287672057917761,137.85233611215,2462.52381974249,33534.715,7.19629077253219,402.849095867673,17.2029242518,52490325648.2309,10860.0,11.5,3.09460281388508,4660000.0,3.22743455405389,4212640.0,104.748
ITA,1990,3944.9,0.565612148925685,108.681640595919,2583.89901091345,424183.892,7.47869130273806,314.561999853339,4.99357177391,1133406604072.4,17900.0,9.6,0.0828989950271654,56719000.0,0.0529184873672945,37831573.0,100.112
JOR,1990,1219.9,0.936424560022144,312.274470919052,1028.21703470032,10403.279,3.28179148264984,996.695896221777,8.35085569782,4020267827.00931,1390.0,38.3,3.66247142736617,3170000.0,5.31032349687537,2288740.0,101.899
JPN,1990,5846.3,0.0581209606977503,136.101108598609,3556.14414305026,1094705.843,8.86136010264131,339.142870802333,13.1944996539,3058038227118.12,27160.0,6.4,0.341370596619248,123537000.0,1.13691974073071,77951847.0,101.354
KOR,1990,5852.9,0.298926760183148,190.766684198139,2171.42893466141,243815.163,5.68744694301243,499.659637740115,2.17926070491,263776986549.113,6000.0,7.5,1.14724011622368,42869000.0,3.58872745479345,31637322.0,98.279
LKA,1990,2965.0,0.539742838707762,159.763855408203,318.173082291749,3773.343,0.217646222125012,109.286427724385,19.5577286833,8032551173.24014,460.0,31.5,1.24204975974803,17337048.0,0.316117218468348,2981972.256,101.867
MAR,1990,1120.0,0.639497820160133,103.328831781424,280.09921268644,23542.14,0.95000364188764,350.457131110316,1.15613829606,25820725667.7109,990.0,85.9,1.91696154104034,24781105.0,3.4157406375895,11994054.82,68.838
MEX,1990,2424.4,0.970272193800885,145.435548672511,1452.94357848748,325603.931,3.86214036950511,386.589343182858,2.43082500478,262709785592.711,2790.0,48.6,1.96462562777135,84306602.0,2.63916444172451,60194913.828,96.518
MLT,1990,3743.0,1.79774067030918,142.973648480033,1929.875,2178.198,6.05055,448.25141981261004,0.0966059121034,2547330284.04418,7470.0,11.3,0.83682491424266,360000.0,0.969656511931276,325440.0,95.445
MOZ,1990,476.6,0.373492005296234,1092.99995550266,437.144517385154,1001.091,0.0738972011377215,184.766443002503,14.821929976,2463238802.85016,170.0,218.7,1.25516890538728,13547076.0,5.51525159435685,2858433.036,72.728
MUS,1990,4190.8,1.54665314401623,74.2492196405465,454.0,1463.133,1.38423178807947,226.38354640206802,1.65749927847,2653485952.13319,2440.0,23.9,0.76727076733815,1057000.0,1.49886982380334,464023.0,100.407
MYS,1990,2740.2,5.29812339660715,182.756141388065,1207.53681702048,56592.811,3.10803296822671,470.38906356623,16.8587886709,44024178269.5189,2370.0,17.9,2.805393097509,18208562.0,4.38405369057302,9067863.876,101.522
NGA,1990,1147.9,2.06474165722174,510.599775740604,723.534553453855,45375.458,0.465140965710236,328.250906118697,11.5694710603,28472471050.9067,260.0,212.6,2.51050272150121,97552057.0,4.51343090905845,34435876.121,76.523
NLD,1990,6958.6,3.62044611744118,167.196356356313,4393.05972445158,164127.586,10.9769653558052,417.774564075436,11.0159188902,294871112186.857,18810.0,8.3,0.691254680311146,14952000.0,1.27519798908965,10272024.0,97.006
NOR,1990,4399.2,0.852822306335341,154.174385277786,4951.67794412354,31330.848,7.38673771071555,229.991885298063,4.70717351302,117624486796.492,26010.0,8.5,0.342445846489429,4241500.0,0.537079601168213,3053880.0,102.239
NPL,1990,1920.0,0.163746463862393,427.765185123549,303.398594543784,634.391,0.033247150158922,46.8755412791119,7.69063957114,3627559252.20577,210.0,140.9,2.4235317358302,19081064.0,5.85243908369342,1698214.696,56.562
NZL,1990,5033.9,3.89876053609451,196.780431768419,3719.64472157773,24022.517,6.96708729698376,368.57994488441796,25.0321788547,44503568893.8027,12970.0,11.1,1.46073295517063,3448000.0,1.6971396846587,2920456.0,99.379
OMN,1990,2159.6,1.21747645304959,154.008972476063,2258.01488714197,10351.941,5.54156114247171,377.964796567653,0.00160441363518,11685045607.8469,5540.0,47.2,3.88782337116259,1868055.0,6.64873493256925,1234784.355,85.962
PAK,1990,1766.4,0.612997637144787,236.349822416885,382.918413132555,68565.566,0.613042717928494,378.3901022963,10.2782175039,40010425587.1428,410.0,123.6,2.9242276797884,111844679.0,3.77753118358332,34224471.774,48.2912131056217
PAN,1990,1866.6,2.55025220206279,99.366098276731,603.405485101779,3135.285,1.29775705050569,213.70878754626798,17.2010448876,5313200000.0,2210.0,33.2,2.04876262055982,2415926.0,2.71890660283432,1302184.114,99.333
PHL,1990,2064.7,1.19607519713681,183.730872764615,468.805053518275,44532.048,0.722586572859241,283.191191483701,8.71958366995,44311595229.859,730.0,59.4,2.50817202996815,61628668.0,4.91392886716836,30074789.984,99.369
PRT,1990,1877.6,3.3642944166699,103.779863174315,1691.52233225546,43725.308,4.41848302344382,271.08691080632,5.90562561503,77579013528.3364,7050.0,14.6,-0.413452889812432,9896000.0,0.678077652719066,4740184.0,97.198
PRY,1990,1979.3,1.46070091437044,180.779976674932,723.8933423817,2262.539,0.533132337070497,133.1406794586,2.91019828659,5264595869.24703,1190.0,50.1,2.63363886135737,4243860.0,4.16480885428043,2066759.82,97.554
ROM,1990,3010.7,2.61102699595309e-05,341.360953186065,2682.5543585987,158861.774,6.84542482871547,871.09539346466,2.81923282106,38299106119.9263,1710.0,37.4,0.237278726175541,23207000.0,1.59990391232587,12346124.0,97.675
SEN,1990,795.0,0.995201749411583,157.583448440423,232.877028236821,3182.956,0.439539310036645,297.427877387124,24.0737670136,5716744852.50468,740.0,138.6,3.00330381824357,7241573.0,3.7755084276346,2824213.47,67.425
SUR,1990,3765.1,-19.2444999286142,256.723225078823,1366.47589766276,1811.498,4.45205829585392,836.419263527047,3.5094997358,399075061.887204,1480.0,51.8,1.6141270713411,406890.0,2.94060193718937,277905.87,116.03
SWE,1990,4963.7,0.810658871155141,224.494802739527,5514.44374342797,51708.367,6.04140285080033,245.947479811868,7.08273294678,244544875554.335,26360.0,6.7,0.774106561308978,8559000.0,0.774106610160048,7112529.0,102.317
